"","TotalPopCentury","MeanPop"
"1","-10000",275960581.666667
"2","-9000",2779908892.33333
"3","-8000",1720342543.71429
"4","-7000",2860519689.33333
"5","-6000",897290738.333333
"6","-5000",606278870
"7","-4000",1114071351
"8","-3000",2110990258.4
"9","-2000",2836200489.83333
"10","-1000",581226570.6
"11","0",365957691.846154
"12","100",775228039
"13","200",668101270.25
"14","300",816160699.333333
"15","400",829336056
"16","500",834909400.666667
"17","600",536845076.666667
"18","700",898061710
"19","800",955121348
"20","900",1065407308.66667
"21","1000",498826262.25
"22","1100",1129669026.5
"23","1200",392693680.166667
"24","1300",1087287771.2
"25","1400",1072504620.6
"26","1500",829151112.181818
"27","1600",538844604.714286
"28","1700",1088297953.77419
"29","1800",1443054454.83333
"30","1900",2931132256.46012
"31","2000",9144284666.41346
"32","2100",10874902000
