"","Entity","Code","Year","World Population over 12000 years (people)"
"1","Biraben (1980)",NA,1,2.52e+08
"2","Biraben (1980)",NA,1000,2.53e+08
"3","Biraben (1980)",NA,1500,4.61e+08
"4","Biraben (1980)",NA,1700,6.79e+08
"5","Biraben (1980)",NA,1750,7.7e+08
"6","Biraben (1980)",NA,1800,9.54e+08
"7","Biraben (1980)",NA,1850,1.241e+09
"8","Biraben (1980)",NA,1900,1.633e+09
"9","Braudel (1981)",NA,1700,4.1e+08
"10","Clark (1967)",NA,-8000,7500000
"11","Clark (1967)",NA,1,2.56e+08
"12","Clark (1967)",NA,600,2.37e+08
"13","Clark (1967)",NA,1000,280200000
"14","Clark (1967)",NA,1500,427800000
"15","Clark (1967)",NA,1600,4.98e+08
"16","Clark (1967)",NA,1700,640800000
"17","Clark (1967)",NA,1750,7.31e+08
"18","Clark (1967)",NA,1800,8.9e+08
"19","Clark (1967)",NA,1850,1.171e+09
"20","Durand (1974), lower",NA,1,2.7e+08
"21","Durand (1974), lower",NA,1000,2.75e+08
"22","Durand (1974), lower",NA,1500,4.4e+08
"23","Durand (1974), lower",NA,1750,7.35e+08
"24","Durand (1974), lower",NA,1900,1.65e+09
"25","Durand (1974), upper",NA,1,3.3e+08
"26","Durand (1974), upper",NA,1000,3.45e+08
"27","Durand (1974), upper",NA,1500,5.4e+08
"28","Durand (1974), upper",NA,1750,8.05e+08
"29","Durand (1974), upper",NA,1900,1.71e+09
"30","Durand (1977)",NA,1900,1.668e+09
"31","Grigg (1987)",NA,-8000,7500000
"32","Grigg (1987)",NA,1,2.56e+08
"33","Grigg (1987)",NA,600,2.37e+08
"34","Grigg (1987)",NA,1000,2.8e+08
"35","Grigg (1987)",NA,1500,4.28e+08
"36","Grigg (1987)",NA,1600,4.98e+08
"37","Grigg (1987)",NA,1700,6.41e+08
"38","Grigg (1987)",NA,1750,7.31e+08
"39","Grigg (1987)",NA,1800,8.9e+08
"40","Grigg (1987)",NA,1850,1.171e+09
"41","Grigg (1987)",NA,1900,1.668e+09
"42","Grigg (1987)",NA,1950,2.486e+09
"43","Grigg (1987)",NA,1960,2.982e+09
"44","Grigg (1987)",NA,1970,3.632e+09
"45","Grigg (1987)",NA,1980,4.414e+09
"46","HYDE 3.1",NA,-10000,2431214021
"47","HYDE 3.1",NA,-9000,3564407699
"48","HYDE 3.1",NA,-8000,5136461796
"49","HYDE 3.1",NA,-7000,7561695768
"50","HYDE 3.1",NA,-6000,1146100334
"51","HYDE 3.1",NA,-5000,1792017232
"52","HYDE 3.1",NA,-4000,2837042982
"53","HYDE 3.1",NA,-3000,4481989272
"54","HYDE 3.1",NA,-2000,7210813252
"55","HYDE 3.1",NA,-1000,1150656656
"56","HYDE 3.1",NA,1,1882390904
"57","HYDE 3.1",NA,100,1950621925
"58","HYDE 3.1",NA,200,2023095529
"59","HYDE 3.1",NA,300,2053165544
"60","HYDE 3.1",NA,400,2089098335
"61","HYDE 3.1",NA,500,2104298366
"62","HYDE 3.1",NA,600,2126427691
"63","HYDE 3.1",NA,700,2258350119
"64","HYDE 3.1",NA,800,2404876404
"65","HYDE 3.1",NA,900,2687474479
"66","HYDE 3.1",NA,1000,2950401952
"67","HYDE 3.1",NA,1100,3526069188
"68","HYDE 3.1",NA,1200,393081041
"69","HYDE 3.1",NA,1300,3924035324
"70","HYDE 3.1",NA,1400,3897748276
"71","HYDE 3.1",NA,1500,4613676577
"72","HYDE 3.1",NA,1600,553956117
"73","HYDE 3.1",NA,1700,6031675441
"74","HYDE 3.1",NA,1750,8115621439
"75","HYDE 3.1",NA,1800,9893131027
"76","HYDE 3.1",NA,1850,1262675510
"77","HYDE 3.1",NA,1900,1654429527
"78","HYDE 3.1",NA,1910,1777175381
"79","HYDE 3.1",NA,1920,1912110935
"80","HYDE 3.1",NA,1930,2091893626
"81","HYDE 3.1",NA,1940,2307348107
"82","HYDE 3.1",NA,1950,2544876952
"83","HYDE 3.1",NA,1960,3042794825
"84","HYDE 3.1",NA,1970,3709837147
"85","HYDE 3.1",NA,1980,4460709975
"86","HYDE 3.1",NA,1990,5307597268
"87","HYDE 3.1",NA,2000,6144834307
"88","Haub (1995)",NA,-8000,5e+06
"89","Haub (1995)",NA,1,3e+08
"90","Haub (1995)",NA,1200,4.5e+08
"91","Haub (1995)",NA,1700,5e+08
"92","Haub (1995)",NA,1750,7.95e+08
"93","Haub (1995)",NA,1850,1.265e+09
"94","Haub (1995)",NA,1900,1.656e+09
"95","Kapitsa (1997)",NA,1750,7.28e+08
"96","Kapitsa (1997)",NA,1800,9.07e+08
"97","Kapitsa (1997)",NA,1850,1.17e+09
"98","Kremer (1993)",NA,-10000,4e+06
"99","Kremer (1993)",NA,-8000,4500000
"100","Kremer (1993)",NA,-5000,5e+06
"101","Kremer (1993)",NA,-4000,7e+06
"102","Kremer (1993)",NA,-3000,1.4e+07
"103","Kremer (1993)",NA,-2000,2.7e+07
