"","Entity","Code","Year","World Population over 12000 years (people)","century"
"1","Biraben (1980)",NA,1,2.52e+08,0
"2","Biraben (1980)",NA,1000,2.53e+08,1000
"3","Biraben (1980)",NA,1500,4.61e+08,1500
"4","Biraben (1980)",NA,1700,6.79e+08,1700
"5","Biraben (1980)",NA,1750,7.7e+08,1700
"6","Biraben (1980)",NA,1800,9.54e+08,1800
"7","Biraben (1980)",NA,1850,1.241e+09,1800
"8","Biraben (1980)",NA,1900,1.633e+09,1900
"9","Braudel (1981)",NA,1700,4.1e+08,1700
"10","Clark (1967)",NA,-8000,7500000,-8000
"11","Clark (1967)",NA,1,2.56e+08,0
"12","Clark (1967)",NA,600,2.37e+08,600
"13","Clark (1967)",NA,1000,280200000,1000
"14","Clark (1967)",NA,1500,427800000,1500
"15","Clark (1967)",NA,1600,4.98e+08,1600
"16","Clark (1967)",NA,1700,640800000,1700
"17","Clark (1967)",NA,1750,7.31e+08,1700
"18","Clark (1967)",NA,1800,8.9e+08,1800
"19","Clark (1967)",NA,1850,1.171e+09,1800
"20","Durand (1974), lower",NA,1,2.7e+08,0
"21","Durand (1974), lower",NA,1000,2.75e+08,1000
"22","Durand (1974), lower",NA,1500,4.4e+08,1500
"23","Durand (1974), lower",NA,1750,7.35e+08,1700
"24","Durand (1974), lower",NA,1900,1.65e+09,1900
"25","Durand (1974), upper",NA,1,3.3e+08,0
"26","Durand (1974), upper",NA,1000,3.45e+08,1000
"27","Durand (1974), upper",NA,1500,5.4e+08,1500
"28","Durand (1974), upper",NA,1750,8.05e+08,1700
"29","Durand (1974), upper",NA,1900,1.71e+09,1900
"30","Durand (1977)",NA,1900,1.668e+09,1900
"31","Grigg (1987)",NA,-8000,7500000,-8000
"32","Grigg (1987)",NA,1,2.56e+08,0
"33","Grigg (1987)",NA,600,2.37e+08,600
"34","Grigg (1987)",NA,1000,2.8e+08,1000
"35","Grigg (1987)",NA,1500,4.28e+08,1500
"36","Grigg (1987)",NA,1600,4.98e+08,1600
"37","Grigg (1987)",NA,1700,6.41e+08,1700
"38","Grigg (1987)",NA,1750,7.31e+08,1700
"39","Grigg (1987)",NA,1800,8.9e+08,1800
"40","Grigg (1987)",NA,1850,1.171e+09,1800
"41","Grigg (1987)",NA,1900,1.668e+09,1900
"42","Grigg (1987)",NA,1950,2.486e+09,1900
"43","Grigg (1987)",NA,1960,2.982e+09,1900
"44","Grigg (1987)",NA,1970,3.632e+09,1900
"45","Grigg (1987)",NA,1980,4.414e+09,1900
