,"CommonName","Name","MilFatalities","TotalFatalities","StartYear","EndYear","century","MeanPop","FatsByPercentage"
1,NA,"Japan, Germany-US,USSR,Britain, China,others, 1937-45",19630000,40409000,1937,1945,1900,2931132256.46012,1.37861401207468
2,"First World War","First World War, 1914-18",12599000,19617000,1914,1918,1900,2931132256.46012,0.669263557001386
3,"Thirty Years' War","Thirty Years' War, 1618-48",2073000,8e+06,1618,1648,1600,538844604.714286,1.48465808695289
4,"Genocide of Jews","Germany (massacre of Jews), 1941-42 G",NA,6e+06,1941,1942,1900,2931132256.46012,0.204699053984213
5,"Napoleonic Wars","Napoleonic Wars, 1803-15",1863000,4425000,1803,1815,1800,1443054454.83333,0.30664123485978
6,"Taiping Rebellion","China, 1850-65",2e+06,2e+06,1850,1865,1800,1443054454.83333,0.1385949084112
7,"War of the Spanish Revolution","Spain (with intervention by Germany, Italy), 1936-39",656300,2e+06,1936,1939,1900,2931132256.46012,0.0682330179947378
8,"Sino-Japanese War","Japan-China, 1937-45",850000,2e+06,1937,1945,1900,2931132256.46012,0.0682330179947378
9,"Wars of the French Revolution","Wars of the French Revolution, 1791-1802",649000,1915000,1791,1802,1800,1443054454.83333,0.132704624803724
10,"Politicide of defeated","China, 1950-51 G",NA,1900000,1950,1951,1900,2931132256.46012,0.0648213670950009
11,"Politicide of opponents","Cambodia, 1975-79 G",NA,1900000,1975,1979,1900,2931132256.46012,0.0648213670950009
12,"Genocide of Armenians","Turkey, 1909-18 G",NA,1883000,1909,1918,1900,2931132256.46012,0.0642413864420456
13,"Vietnamese War","Vietnam, 1964-75",1300000,1800000,1964,1975,1900,2931132256.46012,0.061409716195264
14,"Democide in Poland","Poland, 1945-48 G",NA,1585000,1945,1948,1900,2931132256.46012,0.0540746667608297
15,"Korean War","North Korea (aided by Chinese)-South Korea (aided by UN forces), 1950-53",1500000,1500000,1950,1953,1900,2931132256.46012,0.0511747634960534
16,"Chinese Civil War","China (communists), 1927-36",NA,1250000,1927,1936,1900,2931132256.46012,0.0426456362467111
17,"War of Spanish Succession","Austria, UK, UP, Prussia, German, Port, Savoy-France, Spain, Bav, 1701-14",NA,1205000,1701,1714,1700,1088297953.77419,0.11072335437378
18,NA,"Turkey-Armenia, 1915-18",NA,1200000,1915,1918,1900,2931132256.46012,0.0409398107968427
19,"Indochina War","Vietnam-France, 1946-54",6e+05,1200000,1946,1954,1900,2931132256.46012,0.0409398107968427
20,"Lopez War","Paraguay-Brazil, Uruguay, Argentina, 1864-70",3e+05,1100000,1864,1870,1800,1443054454.83333,0.07622719962616
21,NA,"Nigeria (Biafra), 1967-70",1e+06,1100000,1967,1970,1900,2931132256.46012,0.0375281598971058
22,NA,"China-Dzoungars (northwest China), 1755-57",6e+05,1e+06,1755,1757,1700,1088297953.77419,0.0918866011400666
23,"Chinese Civil War (Phase 3)","China (with US intervention), 1945-49",1e+06,1e+06,1945,1949,1900,2931132256.46012,0.0341165089973689
24,"Afghan Civil War","Afghanistan (with Russian intervention), 1978-99 G",5e+05,1e+06,1978,1999,1900,2931132256.46012,0.0341165089973689
25,"Genocide of Southerners","Sudan, 1983- G",12000,1e+06,1983,NA,NA,NA,NA
26,"Seven Years' War","Prussia, Britain, Portugal-France, Austria, Russia, Sweden, Savoy, Spain, 1756-63",NA,988000,1756,1763,1700,1088297953.77419,0.0907839619263858
27,NA,"Mozambique, 1979-1992",2e+05,9e+05,1979,1992,1900,2931132256.46012,0.030704858097632
28,"Danish War (Thirty Years' War)","Denmark, Brunswick, Saxe-Weimar, Mecklenburg, emperor, Spain, Bavaria, 1625-29",NA,825000,1625,1629,1600,538844604.714286,0.153105365217017
29,"American Civil War","USA, 1861-65",623026,820000,1861,1865,1800,1443054454.83333,0.056823912448592
30,NA,"China (Ming)-Qing (Jiangsu, Zhejiang, Fujian), 1644-62",NA,817000,1644,1662,1600,538844604.714286,0.151620707130064
31,"Second Northern War","Denmark, Saxony, Poland, Russia, Prussia, Hanover, Britain-Sweden, Turkey, 1700-21",8e+05,8e+05,1700,1721,1700,1088297953.77419,0.0735092809120533
32,"Politicide of repatriated nationals","Soviet Union, 1943-47 G",NA,8e+05,1943,1947,1900,2931132256.46012,0.0272932071978951
33,NA,"India (inter-communal), 1946-48",NA,8e+05,1946,1948,1900,2931132256.46012,0.0272932071978951
34,"First Kashmir War","Pakistan-India (Kashmir), 1947-49",2500,8e+05,1947,1949,1900,2931132256.46012,0.0272932071978951
35,"Crimean War","Turkey, Britain, France, Sardinia-Russia, Greece (1854), 1853-56",264200,772000,1853,1856,1800,1443054454.83333,0.0534976346467232
36,"Genocide of Chinese and Communists","Indonesia, 1965-66 G",320000,750000,1965,1966,1900,2931132256.46012,0.0255873817480267
37,"The Great Russian Civil War","Russia, 1917-21",3e+05,7e+05,1917,1921,1900,2931132256.46012,0.0238815562981582
38,NA,"Sudan (south-north), 1955-72",NA,7e+05,1955,1972,1900,2931132256.46012,0.0238815562981582
39,"Napoleonic War of Liberation","France-Britain, Russia, Sweden, Austria, Prussia, 1813-14",NA,692000,1813,1814,1800,1443054454.83333,0.0479538383102752
40,"Iran-Iraq War","Iraq-Iran, 1980-88",6e+05,650000,1980,1988,1900,2931132256.46012,0.0221757308482898
41,"Politicide of Cultural Revolution","China, 1966-75 G",NA,625000,1966,1975,1900,2931132256.46012,0.0213228181233556
42,"War of the Grand Alliance","France, Savoy-Cologne, Austria, Prussia, German states, UK, UP, Spain, Savoy, 1688-97",NA,580000,1688,1697,1600,538844604.714286,0.107637711304085
43,"Napoleonic War with England","France-Britain, 1803-14",NA,536400,1803,1814,1800,1443054454.83333,0.0371711544358838
44,"Bangladesh War","Pakistan (East Bengal with intervention by India), 1971 G",5e+05,5e+05,1971,1971,1900,2931132256.46012,0.0170582544986845
45,"Politicide of civilians","Mozambique, 1980-92 G",NA,5e+05,1980,1992,1900,2931132256.46012,0.0170582544986845
46,"Genocide of Tutsis and moderate Hutus","Rwanda, 1994 G",NA,5e+05,1994,1994,1900,2931132256.46012,0.0170582544986845
47,"War of the Second Coalition","France-Britain, Russia, Austria, Turkey, Portugal, Naples, 1798-1800",NA,444270,1798,1802,1800,1443054454.83333,0.0307867799799219
48,"Dutch-Spanish War (Eighty Years War)","Spain-United Provinces, 1621-48",NA,424500,1621,1648,1600,538844604.714286,0.0787796697389379
49,"Habsburg-Ottoman War","Turkey, Hungary (until 1687), Transylvania-Austria, German states, Poland, Venice, Russia (from 1685), 1683-99",NA,384000,1683,1699,1600,538844604.714286,0.0712635881737389
50,NA,"Angola (with intervention by South Africa and Cuba), 1975-95 G",345800,345800,1975,1991,1900,2931132256.46012,0.0117974888112902
51,"French Revolutionary War of the First Coalition","France-Austria, Prussia, Spain, Sardinia, Holland, Naples, 1792-1798",NA,330800,1792,1798,1700,1088297953.77419,0.030396087657134
52,"War of Austrian Succession","Britain, Austria, United Provinces-Spain, Prussia, France, Bavaria, 1740-48",NA,330270,1740,1748,1700,1088297953.77419,0.0303473877585298
53,"Dutch War of Louis XIV","France, Cologne, UK, Sweden-UP, Brandenburg, Spain, Austria, Germany, Denmark, 1672-78",NA,307000,1672,1678,1600,538844604.714286,0.0569737540868173
54,NA,"South Vietnam (with intervention by North Vietnam, USA and others), 1956-64",302000,302000,1956,1964,1900,2931132256.46012,0.0103031857172054
55,"Caste War","Mexico (Mayans), 1847-58",3e+05,3e+05,1847,1858,1800,1443054454.83333,0.02078923626168
56,"Balkan War","Bosnia, Herzegovina (aided by Montenegro, Serbia, Russia)-Turkey, 1875-78",40000,3e+05,1875,1878,1800,1443054454.83333,0.02078923626168
57,"La Violencia","Colombia, 1949-62",1e+05,3e+05,1949,1962,1900,2931132256.46012,0.0102349526992107
58,"Genocide of Southern Sudanese","Sudan, 1956-72 G",250000,3e+05,1956,1972,1900,2931132256.46012,0.0102349526992107
